catalog_order,id,name_en,name_ro,name_th,record_type,primary_category,all_categories,disciplines,hyrox_station_order,hyrox_station_name,equipment,muscles,movement_pattern,entity_type,prescription_mode,default_sets,default_reps_or_duration,unit,default_rest_seconds,per_side,loadable,increment_kg,can_fail_safely,needs_spotter,needs_safeties,contraindications,technical_complexity,coached_only,tempo_applies,tempo_class,review_status,evidence_source_ids,owner_csv_exact_match,owner_csv_disposition,owner_csv_source_name,english_aliases,notes
174,pilates_side_kick,Side Kick Series,Side Kick Series,Side Kick Series,movement,pilates,pilates,pilates,,,Mat,glutes; abs; obliques,isolation_lower,resistance_dynamic,tempo_reps,3,13,reps,60,true,false,0,true,false,false,,2,false,true,glute_lockout,internally_reviewed,,no,,,,
175,pilates_clam,Clam,Clam,Clam,movement,pilates,pilates,pilates,,,Mat,glutes,isolation_lower,resistance_dynamic,tempo_reps,3,16,reps,60,true,false,0,true,false,false,,1,false,true,glute_lockout,internally_reviewed,,no,,,,
176,pilates_swimming,Pilates Swimming,Pilates Swimming,Pilates Swimming,movement,pilates,pilates,pilates,,,Mat,lowerBack; glutes,core_anti_extension,resistance_isometric,hold,4,33,seconds,60,false,false,0,true,false,false,lumbar_extension,2,false,false,core_braced,internally_reviewed,,no,,,,
177,reformer_footwork,Reformer Footwork,Reformer Footwork,Reformer Footwork,movement,machine,pilates; machine,pilates,,,Reformer,quads; glutes; calves,squat,resistance_dynamic,tempo_reps,4,15,reps,60,false,true,0,true,false,false,,2,false,true,standard_compound,internally_reviewed,,no,,,,
178,reformer_long_stretch,Reformer Long Stretch,Reformer Long Stretch,Reformer Long Stretch,movement,machine,pilates; machine,pilates,,,Reformer,abs; obliques; frontDelts; lats,core_anti_extension,resistance_dynamic,tempo_reps,4,8,reps,90,false,false,0,true,false,false,,4,false,true,core_braced,internally_reviewed,,no,,,,
179,reformer_elephant,Reformer Elephant,Reformer Elephant,Reformer Elephant,movement,machine,pilates; mobility; machine,pilates; mobility,,,Reformer,hamstrings; abs; obliques; lats,mobility,mobility_drill,quality,2,9,reps,15,false,false,0,true,false,false,,3,false,false,standard_compound,internally_reviewed,,no,,,,
180,reformer_knee_stretch,Reformer Knee Stretch,Reformer Knee Stretch,Reformer Knee Stretch,movement,machine,pilates; machine,pilates,,,Reformer,abs; obliques,core_flexion,resistance_dynamic,tempo_reps,4,10,reps,60,false,false,0,true,false,false,,3,false,true,core_braced,internally_reviewed,,no,,,,
181,reformer_short_box,Reformer Short Box,Reformer Short Box,Reformer Short Box,movement,machine,pilates; machine,pilates,,,Reformer,abs; obliques; lowerBack,core_flexion,resistance_dynamic,tempo_reps,4,8,reps,60,false,false,0,true,false,false,lumbar_flexion,3,false,true,core_braced,internally_reviewed,,no,,,,
182,reformer_mermaid,Reformer Mermaid,Reformer Mermaid,Reformer Mermaid,movement,machine,pilates; mobility; machine,pilates; mobility,,,Reformer,obliques; lats,mobility,mobility_drill,quality,2,30,seconds,15,true,false,0,true,false,false,,2,false,false,standard_compound,internally_reviewed,,no,,,,
183,chair_pose,Chair Pose,Chair Pose,Chair Pose,movement,yoga,yoga,yoga,,,Mat,quads; glutes; frontDelts,yoga_pose,yoga_pose,breath,2,33,seconds,15,false,false,0,true,false,false,,1,false,false,standard_compound,internally_reviewed,,no,,,,
184,tree_pose,Tree Pose,Tree Pose,Tree Pose,movement,yoga,yoga,yoga,,,Mat,glutes; abs; obliques,yoga_pose,yoga_pose,breath,2,40,seconds,15,true,false,0,true,false,false,,2,false,false,standard_compound,internally_reviewed,,no,,,,
185,warrior_one,Warrior I,Warrior I,Warrior I,movement,yoga,yoga,yoga,,,Mat,quads; frontDelts,yoga_pose,yoga_pose,breath,2,45,seconds,15,true,false,0,true,false,false,shoulder_overhead,2,false,false,standard_compound,internally_reviewed,,no,,,,
186,warrior_three,Warrior III,Warrior III,Warrior III,movement,yoga,yoga,yoga,,,Mat,glutes; hamstrings; abs; obliques,yoga_pose,yoga_pose,breath,2,28,seconds,15,true,false,0,true,false,false,,3,false,false,standard_compound,internally_reviewed,,no,,,,
187,half_moon,Half Moon,Half Moon,Half Moon,movement,yoga,yoga,yoga,,,Mat,glutes; obliques; hamstrings,yoga_pose,yoga_pose,breath,2,28,seconds,15,true,false,0,true,false,false,,4,false,false,standard_compound,internally_reviewed,,no,,,,
188,extended_side_angle,Extended Side Angle,Extended Side Angle,Extended Side Angle,movement,yoga,yoga,yoga,,,Mat,obliques; adductors; quads,yoga_pose,yoga_pose,breath,2,45,seconds,15,true,false,0,true,false,false,,2,false,false,standard_compound,internally_reviewed,,no,,,,
189,revolved_triangle,Revolved Triangle,Revolved Triangle,Revolved Triangle,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,hamstrings; obliques,yoga_pose,yoga_pose,breath,2,33,seconds,15,true,false,0,true,false,false,lumbar_flexion,3,false,false,standard_compound,internally_reviewed,,no,,,,
190,crow_pose,Crow Pose,Crow Pose,Crow Pose,movement,calisthenics,calisthenics; yoga,yoga; calisthenics,,,Mat,frontDelts; abs; obliques; forearms,skill,skill_drill,quality,4,15,seconds,60,false,false,0,true,false,false,wrist,4,false,false,standard_compound,internally_reviewed,,no,,,,
191,boat_pose,Boat Pose,Boat Pose,Boat Pose,movement,yoga,yoga,yoga,,,Mat,abs; obliques,core_anti_extension,resistance_isometric,hold,4,33,seconds,60,false,false,0,true,false,false,,2,false,false,core_braced,internally_reviewed,,no,,,,
192,camel_pose,Camel Pose,Camel Pose,Camel Pose,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,chest; lowerBack,yoga_pose,yoga_pose,breath,2,30,seconds,15,false,false,0,true,false,false,knee_deep_flexion; lumbar_extension,3,false,false,standard_compound,internally_reviewed,,no,,,,
193,bow_pose,Bow Pose,Bow Pose,Bow Pose,movement,yoga,yoga,yoga,,,Mat,chest; lowerBack,yoga_pose,yoga_pose,breath,2,23,seconds,15,false,false,0,true,false,false,lumbar_extension,3,false,false,standard_compound,internally_reviewed,,no,,,,
194,locust_pose,Locust Pose,Locust Pose,Locust Pose,movement,yoga,yoga,yoga,,,Mat,lowerBack; glutes; rearDelts,yoga_pose,yoga_pose,breath,2,30,seconds,15,false,false,0,true,false,false,lumbar_extension,2,false,false,standard_compound,internally_reviewed,,no,,,,
195,seated_forward_fold,Seated Forward Fold,Seated Forward Fold,Seated Forward Fold,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,hamstrings; lowerBack,yoga_pose,yoga_pose,breath,2,68,seconds,15,false,false,0,true,false,false,hip_end_range; lumbar_flexion,1,false,false,standard_compound,internally_reviewed,,no,,,,
196,butterfly_stretch,Butterfly,Butterfly,Butterfly,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,adductors,mobility,mobility_drill,quality,2,68,seconds,15,false,false,0,true,false,false,hip_end_range,1,false,false,standard_compound,internally_reviewed,,no,,,,
197,happy_baby,Happy Baby,Happy Baby,Happy Baby,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,adductors,mobility,mobility_drill,quality,2,45,seconds,15,false,false,0,true,false,false,hip_end_range,1,false,false,standard_compound,internally_reviewed,,no,,,,
198,supine_twist,Supine Twist,Supine Twist,Supine Twist,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,obliques,mobility,mobility_drill,quality,2,45,seconds,15,true,false,0,true,false,false,,1,false,false,standard_compound,internally_reviewed,,no,,,,
199,legs_up_wall,Legs Up the Wall,Legs Up the Wall,Legs Up the Wall,movement,mobility,yoga; mobility,yoga; mobility,,,Wall · Mat,hamstrings,yoga_pose,yoga_pose,breath,2,180,seconds,15,false,false,0,true,false,false,,1,false,false,standard_compound,internally_reviewed,,no,,,,"Often the right answer on a genuinely low-recovery day, when the honest prescription is to do very little."
200,corpse_pose,Corpse Pose,Corpse Pose,Corpse Pose,movement,yoga,yoga,yoga,,,Mat,chest; upperBack; abs; glutes; quads,yoga_pose,yoga_pose,breath,2,180,seconds,15,false,false,0,true,false,false,,1,false,false,standard_compound,internally_reviewed,,no,,,,
201,chaturanga,Chaturanga,Chaturanga,Chaturanga,movement,yoga,yoga,yoga,,,Mat,triceps; chest; abs; obliques,horizontal_push,resistance_dynamic,tempo_reps,4,6,reps,60,false,false,0,true,false,false,shoulder_press; wrist,4,false,true,standard_compound,internally_reviewed,,no,,,,
202,upward_dog,Upward-Facing Dog,Upward-Facing Dog,Upward-Facing Dog,movement,yoga,yoga,yoga,,,Mat,chest; lowerBack,yoga_pose,yoga_pose,breath,2,23,seconds,15,false,false,0,true,false,false,lumbar_extension; wrist,2,false,false,standard_compound,internally_reviewed,,no,,,,
203,low_lunge,Low Lunge,Low Lunge,Low Lunge,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,quads,yoga_pose,yoga_pose,breath,2,45,seconds,15,true,false,0,true,false,false,hip_end_range,1,false,false,standard_compound,internally_reviewed,,no,,,,
204,lizard_pose,Lizard Pose,Lizard Pose,Lizard Pose,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,adductors,mobility,mobility_drill,quality,2,45,seconds,15,true,false,0,true,false,false,hip_end_range,2,false,false,standard_compound,internally_reviewed,,no,,,,
205,garland_pose,Garland Pose,Garland Pose,Garland Pose,movement,mobility,yoga; mobility,yoga; mobility,,,Mat,adductors; quads,yoga_pose,yoga_pose,breath,2,45,seconds,15,false,false,0,true,false,false,ankle_dorsiflexion; hip_deep_flexion; hip_end_range; knee_deep_flexion,2,false,false,standard_compound,internally_reviewed,,no,,,,
206,eagle_pose,Eagle Pose,Eagle Pose,Eagle Pose,movement,yoga,yoga,yoga,,,Mat,glutes; rearDelts,yoga_pose,yoga_pose,breath,2,30,seconds,15,true,false,0,true,false,false,hip_end_range,3,false,false,standard_compound,internally_reviewed,,no,,,,
207,dancer_pose,Dancer Pose,Dancer Pose,Dancer Pose,movement,yoga,yoga,yoga,,,Mat,chest; glutes,yoga_pose,yoga_pose,breath,2,25,seconds,15,true,false,0,true,false,false,lumbar_extension,4,false,false,standard_compound,internally_reviewed,,no,,,,
208,sled_push,Sled Push,Împins sania,ดันสเลด,movement,hiit,hyrox; hiit,conditioning; hiit,2,Sled Push,Sled,quads; glutes; calves; abs; obliques; frontDelts; triceps,conditioning,conditioning_complex,interval,4,60,seconds,60,false,true,10,true,false,false,,2,false,false,standard_compound,internally_reviewed,,no,,,,"The station that ends most first races. Legs empty in seconds, and the run after it is the one that hurts."
209,sled_pull,Sled Pull,Sled Pull,Sled Pull,movement,hiit,hyrox; hiit,conditioning; hiit,3,Sled Pull,Sled · Rope,lats; upperBack; glutes; forearms,conditioning,conditioning_complex,interval,4,60,seconds,60,false,true,10,true,false,false,,3,false,false,standard_compound,internally_reviewed,,no,,,,
210,burpee_broad_jump,Burpee Broad Jump,Burpee Broad Jump,Burpee Broad Jump,movement,hiit,hyrox; hiit,conditioning; hiit,4,Burpee Broad Jump,Floor Space,chest; upperBack; abs; glutes; quads,conditioning,conditioning_complex,interval,4,83,seconds,60,false,false,0,true,false,false,ankle_impact; knee_impact; wrist,3,false,false,standard_compound,internally_reviewed,,no,,,,"Pacing here decides the race more than fitness does. Practised at a rhythm that can be held, never sprinted."
211,sandbag_lunge,Sandbag Lunge,Sandbag Lunge,Sandbag Lunge,movement,weights,hyrox; strength; hiit; weights,conditioning; strength,7,Sandbag Lunges,Sandbag · Floor Space,quads; glutes; abs; obliques; upperBack,lunge,resistance_dynamic,tempo_reps,4,30,reps,150,true,true,5,true,false,false,knee_deep_flexion,3,false,true,standard_compound,internally_reviewed,,no,,,,
212,wall_ball,Wall Ball,Wall Ball,Wall Ball,movement,weights,hyrox; crossfit; hiit; weights,conditioning; hiit; crossfit,8,Wall Balls,Medicine Ball · Wall,quads; glutes; frontDelts; abs; obliques,squat,resistance_dynamic,tempo_reps,4,23,reps,120,false,true,2,true,false,false,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion; shoulder_overhead,3,false,true,standard_compound,internally_reviewed,,no,,,,A squat and a press that never lets the shoulders rest. The last station of a Hyrox race for a reason.
213,thruster,Thruster,Thruster,Thruster,movement,weights,crossfit; hiit; weights,crossfit; conditioning,,,Barbell · Plates,quads; frontDelts; glutes; triceps,squat,resistance_dynamic,tempo_reps,4,9,reps,150,false,true,2.5,true,false,false,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion; shoulder_overhead,4,false,true,standard_compound,internally_reviewed,,no,,,,
214,power_clean,Power Clean,Power Clean,Power Clean,movement,weights,olympic_weightlifting; crossfit; strength; hiit; weights,crossfit; strength,,,Barbell · Plates · Lifting Platform,glutes; hamstrings; neckTraps; quads,hip_hinge,resistance_dynamic,quality_reps,4,4,reps,120,false,true,2.5,true,false,false,lumbar_flexion; wrist,5,true,false,hamstring_eccentric,internally_reviewed,,no,,,,"Stopped on bar speed and technical quality, never on reps in reserve."
215,power_snatch,Power Snatch,Power Snatch,Power Snatch,movement,weights,olympic_weightlifting; crossfit; strength; hiit; weights,crossfit; strength,,,Barbell · Plates · Lifting Platform,glutes; hamstrings; neckTraps; frontDelts,hip_hinge,resistance_dynamic,quality_reps,4,3,reps,120,false,true,2.5,true,false,false,lumbar_flexion; shoulder_overhead; wrist,5,true,false,hamstring_eccentric,internally_reviewed,,no,,,,
216,clean_and_jerk,Clean and Jerk,Clean and Jerk,Clean and Jerk,movement,weights,olympic_weightlifting; crossfit; strength; hiit; weights,crossfit; strength,,,Barbell · Plates · Lifting Platform,glutes; quads; frontDelts; neckTraps; triceps,hip_hinge,resistance_dynamic,quality_reps,4,2,reps,150,false,true,2.5,true,false,false,lumbar_flexion; shoulder_overhead,5,true,false,standard_compound,internally_reviewed,,no,,,,
217,push_press,Push Press,Push Press,Push Press,movement,weights,crossfit; strength; hiit; weights,crossfit; strength,,,Barbell · Plates · Rack,frontDelts; triceps; quads,vertical_push,resistance_dynamic,tempo_reps,4,6,reps,120,false,true,2.5,true,false,false,shoulder_overhead,3,false,true,standard_compound,internally_reviewed,,no,,,,
218,overhead_squat,Overhead Squat,Overhead Squat,Overhead Squat,movement,weights,crossfit; hiit; weights,crossfit,,,Barbell · Plates · Rack,quads; frontDelts; abs; obliques,squat,resistance_dynamic,tempo_reps,4,6,reps,120,false,true,2.5,true,false,false,ankle_dorsiflexion; hip_deep_flexion; knee_deep_flexion; shoulder_overhead,5,true,true,standard_compound,internally_reviewed,,no,,,,
219,front_rack_lunge,Front Rack Lunge,Front Rack Lunge,Front Rack Lunge,movement,weights,crossfit; strength; hiit; weights,crossfit; strength,,,Barbell · Plates · Rack,quads; glutes; abs; obliques; upperBack,lunge,resistance_dynamic,tempo_reps,4,8,reps,120,true,true,2.5,true,false,false,knee_deep_flexion; wrist,4,false,true,standard_compound,internally_reviewed,,no,,,,
220,double_under,Double Under,Double Under,Double Under,movement,hiit,crossfit; hiit,crossfit; hiit,,,Skipping Rope,calves; forearms,conditioning,conditioning_complex,interval,4,75,seconds,60,false,false,0,true,false,false,ankle_impact; knee_impact,4,false,false,standard_compound,internally_reviewed,,no,,,,
221,single_under,Skipping,Sărit coarda,กระโดดเชือก,movement,hiit,crossfit; hiit,crossfit; hiit; conditioning,,,Skipping Rope,calves; forearms; frontDelts,conditioning,conditioning_complex,interval,4,113,seconds,60,false,false,0,true,false,false,ankle_impact; knee_impact,1,false,false,standard_compound,internally_reviewed,,no,,,,
222,toes_to_bar,Toes to Bar,Toes to Bar,Toes to Bar,movement,calisthenics,crossfit; calisthenics; hiit,crossfit; calisthenics,,,Pull Up Bar,abs; obliques; lats,core_flexion,resistance_dynamic,tempo_reps,4,9,reps,90,false,false,0,true,false,false,,4,false,true,core_braced,internally_reviewed,,no,,,,
223,kettlebell_clean,Kettlebell Clean,Kettlebell Clean,Kettlebell Clean,movement,weights,crossfit; kettlebell_sport; strength; hiit; weights,crossfit; strength; kettlebell_sport,,,Kettlebell,glutes; hamstrings; neckTraps; forearms,hip_hinge,resistance_dynamic,quality_reps,4,8,reps,90,true,true,4,true,false,false,lumbar_flexion; wrist,4,false,false,hamstring_eccentric,internally_reviewed,,yes,already_canonical,Kettlebell Clean,,
224,turkish_get_up,Turkish Get-Up,Turkish Get-Up,Turkish Get-Up,movement,weights,crossfit; strength; hiit; weights,crossfit; strength,,,Kettlebell,abs; obliques; frontDelts; glutes,skill,skill_drill,quality,4,4,reps,90,true,true,4,true,false,false,shoulder_overhead,5,true,false,standard_compound,internally_reviewed,,no,,,,
225,devils_press,Devil's Press,Devil's Press,Devil's Press,movement,weights,crossfit; hiit; weights,crossfit; hiit,,,Dumbbells,chest; upperBack; abs; glutes; quads; frontDelts,conditioning,conditioning_complex,interval,4,60,seconds,60,false,true,2,true,false,false,lumbar_flexion; shoulder_overhead,4,false,false,standard_compound,internally_reviewed,,no,,,,
226,man_maker,Man Maker,Man Maker,Man Maker,movement,weights,crossfit; hiit; weights,crossfit; hiit,,,Dumbbells,chest; upperBack; abs; glutes; quads,conditioning,conditioning_complex,interval,4,60,seconds,60,false,true,2,true,false,false,lumbar_flexion; shoulder_overhead,4,false,false,standard_compound,internally_reviewed,,no,,,,
227,sandbag_clean,Sandbag Clean,Sandbag Clean,Sandbag Clean,movement,weights,strength; hiit; weights,conditioning; strength,,,Sandbag,glutes; hamstrings; upperBack; abs; obliques,hip_hinge,resistance_dynamic,quality_reps,4,8,reps,120,false,true,5,true,false,false,lumbar_flexion,3,false,false,hamstring_eccentric,internally_reviewed,,no,,,,
228,tire_flip,Tire Flip,Tire Flip,Tire Flip,movement,hiit,hiit,conditioning,,,Tire · Outdoor Space,glutes; quads; upperBack; abs; obliques,hip_hinge,resistance_isometric,hold,4,40,seconds,150,false,false,0,true,false,false,lumbar_flexion,4,false,false,standard_compound,internally_reviewed,,no,,,,
229,bear_crawl,Bear Crawl,Bear Crawl,Bear Crawl,movement,calisthenics,crossfit; calisthenics; hiit,calisthenics; hiit; conditioning; crossfit,,,Floor Space,abs; obliques; frontDelts; quads,conditioning,conditioning_complex,interval,4,40,seconds,60,false,false,0,true,false,false,wrist,2,false,false,standard_compound,internally_reviewed,,yes,already_canonical,Bear Crawl,,
230,sled_drag,Sled Drag,Sled Drag,Sled Drag,movement,hiit,hiit,conditioning,,,Sled,quads; glutes; hamstrings,conditioning,conditioning_complex,interval,4,60,seconds,60,false,true,10,true,false,false,,1,false,false,standard_compound,internally_reviewed,,no,,,,"All concentric, so it builds legs with almost no soreness. Useful the week before a race."
231,overhead_carry,Overhead Carry,Overhead Carry,Overhead Carry,movement,weights,strength; weights,strength,,,Dumbbells · Floor Space,frontDelts; abs; obliques; neckTraps; forearms,carry,resistance_isometric,carry,4,33,seconds,90,false,true,2,true,false,false,shoulder_overhead,3,false,false,loaded_carry,internally_reviewed,,no,,,,"The most demanding carry for the shoulder, and the first one dropped when overhead is restricted."
232,front_rack_carry,Front Rack Carry,Front Rack Carry,Front Rack Carry,movement,weights,strength; weights,strength,,,Kettlebell · Floor Space,abs; obliques; upperBack; quads,carry,resistance_isometric,carry,4,45,seconds,90,false,true,4,true,false,false,,2,false,false,loaded_carry,internally_reviewed,,no,,,,
233,sandbag_carry,Sandbag Carry,Sandbag Carry,Sandbag Carry,movement,weights,strength; hiit; weights,conditioning; strength,,,Sandbag · Floor Space,abs; obliques; upperBack; glutes; forearms,carry,resistance_isometric,carry,4,60,seconds,120,false,true,5,true,false,false,lumbar_flexion,2,false,false,loaded_carry,internally_reviewed,,no,,,,"An awkward load that shifts, which is exactly why it transfers to a race and to real life."
234,yoke_walk,Yoke Walk,Yoke Walk,Yoke Walk,movement,strongman,strongman,strongman,,,Yoke · Floor Space,abs; obliques; neckTraps; quads; lowerBack,carry,resistance_isometric,carry,4,28,seconds,150,false,true,10,true,false,false,lumbar_flexion,4,false,false,loaded_carry,internally_reviewed,,no,,,,
235,zercher_carry,Zercher Carry,Zercher Carry,Zercher Carry,movement,weights,strongman; strength; weights,strongman; strength,,,Barbell · Plates · Floor Space,abs; obliques; upperBack; biceps,carry,resistance_isometric,carry,4,33,seconds,120,false,true,2.5,true,false,false,lumbar_flexion,4,false,false,loaded_carry,internally_reviewed,,no,,,,
236,waiter_walk,Waiter Walk,Waiter Walk,Waiter Walk,movement,weights,strength; weights,strength,,,Kettlebell · Floor Space,frontDelts; abs; obliques,carry,resistance_isometric,carry,4,33,seconds,60,true,true,4,true,false,false,shoulder_overhead,3,false,false,loaded_carry,internally_reviewed,,no,,,,
237,bottoms_up_carry,Bottoms-Up Carry,Bottoms-Up Carry,Bottoms-Up Carry,movement,weights,strength; weights,strength,,,Kettlebell · Floor Space,forearms; abs; obliques,carry,resistance_isometric,carry,4,28,seconds,60,true,true,4,true,false,false,,4,false,false,loaded_carry,internally_reviewed,,no,,,,Grip and shoulder stability before load. The bell falls long before the muscle does.
238,mixed_carry,Mixed Carry,Mixed Carry,Mixed Carry,movement,weights,strength; weights,strength,,,Kettlebell · Floor Space,obliques; forearms; abs; frontDelts,carry,resistance_isometric,carry,4,33,seconds,90,true,true,4,true,false,false,shoulder_overhead,3,false,false,loaded_carry,internally_reviewed,,no,,,,
239,depth_jump,Depth Jump,Depth Jump,Depth Jump,movement,hiit,strength; hiit,strength,,,Bodyweight,quads; glutes; calves,plyometric,plyometric,contacts,4,5,reps,60,false,false,0,true,false,false,ankle_impact; knee_deep_flexion; knee_impact,4,false,false,standard_compound,internally_reviewed,,no,,,,The highest-force plyometric here. Needs a real base and a landing that has been coached.
240,bounding,Bounding,Bounding,Bounding,movement,hiit,strength; hiit,strength,,,Floor Space,glutes; hamstrings; calves,plyometric,plyometric,contacts,4,28,seconds,60,true,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,
241,lateral_bound,Lateral Bound,Lateral Bound,Lateral Bound,movement,hiit,strength; hiit,strength,,,Floor Space,glutes; quads; calves,plyometric,plyometric,contacts,4,6,reps,60,true,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,"The only jumping in the library that trains the sideways direction, which is where a lot of knees are hurt."
242,lateral_hop,Lateral Hop,Lateral Hop,Lateral Hop,movement,hiit,strength; hiit,strength,,,Bodyweight,calves; glutes,plyometric,plyometric,contacts,4,23,seconds,60,true,false,0,true,false,false,ankle_impact; knee_impact,2,false,false,standard_compound,internally_reviewed,,no,,,,
243,pogo_hop,Pogo Hop,Pogo Hop,Pogo Hop,movement,hiit,strength; hiit,strength,,,Bodyweight,calves,plyometric,plyometric,contacts,4,28,seconds,60,false,false,0,true,false,false,ankle_impact; knee_impact,2,false,false,standard_compound,internally_reviewed,,no,,,,"Stiff ankles, quick ground contact. The gentlest entry into jumping and the best preparation for running."
244,tuck_jump,Tuck Jump,Tuck Jump,Tuck Jump,movement,hiit,strength; hiit,strength; hiit,,,Bodyweight,quads; calves,plyometric,plyometric,contacts,4,6,reps,60,false,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,
245,split_jump,Split Jump,Split Jump,Split Jump,movement,hiit,strength; hiit,strength,,,Bodyweight,quads; glutes,plyometric,plyometric,contacts,4,6,reps,60,true,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,
246,single_leg_hop,Single-Leg Hop,Single-Leg Hop,Single-Leg Hop,movement,hiit,strength; hiit,strength,,,Floor Space,calves; quads; glutes,plyometric,plyometric,contacts,4,7,reps,60,true,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,
247,hurdle_hop,Hurdle Hop,Hurdle Hop,Hurdle Hop,movement,hiit,strength; hiit,strength,,,Bodyweight,quads; calves,plyometric,plyometric,contacts,4,8,reps,60,false,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,
248,medicine_ball_slam,Medicine Ball Slam,Medicine Ball Slam,Medicine Ball Slam,movement,weights,strength; hiit; weights,strength; hiit,,,Medicine Ball,abs; obliques; lats; frontDelts,plyometric,plyometric,contacts,4,9,reps,60,false,true,2,true,false,false,ankle_impact; knee_impact; lumbar_flexion,2,false,false,standard_compound,internally_reviewed,,no,,,,
249,medicine_ball_chest_pass,Medicine Ball Chest Pass,Medicine Ball Chest Pass,Medicine Ball Chest Pass,movement,weights,strength; hiit; weights,strength,,,Medicine Ball · Wall,chest; triceps; abs; obliques,plyometric,plyometric,contacts,4,8,reps,60,false,true,2,true,false,false,ankle_impact; knee_impact,2,false,false,standard_compound,internally_reviewed,,no,,,,
250,medicine_ball_rotational_throw,Rotational Throw,Rotational Throw,Rotational Throw,movement,weights,strength; hiit; weights,strength,,,Medicine Ball · Wall,obliques; abs; chest,plyometric,plyometric,contacts,4,8,reps,60,true,true,2,true,false,false,ankle_impact; knee_impact; lumbar_flexion,3,false,false,standard_compound,internally_reviewed,,no,,,,The only true rotational power movement here. Slow and controlled defeats the point.
251,broad_jump_repeat,Repeat Broad Jump,Repeat Broad Jump,Repeat Broad Jump,movement,hiit,strength; hiit,strength,,,Floor Space,glutes; quads; hamstrings,plyometric,plyometric,contacts,4,5,reps,60,false,false,0,true,false,false,ankle_impact; knee_impact,3,false,false,standard_compound,internally_reviewed,,no,,,,
252,landmine_rotation,Landmine Rotation,Landmine Rotation,Landmine Rotation,movement,weights,strength; weights,strength,,,Landmine · Barbell,obliques; abs; frontDelts,core_anti_rotation,resistance_dynamic,tempo_reps,4,10,reps,60,false,true,2.5,true,false,false,lumbar_flexion,3,false,true,core_braced,internally_reviewed,,no,,,,
253,cable_chop,Cable Chop,Cable Chop,Cable Chop,movement,machine,strength; machine,strength,,,Cable Stack,obliques; abs; lats,core_anti_rotation,resistance_dynamic,tempo_reps,4,13,reps,60,true,true,1,true,false,false,,2,false,true,core_braced,internally_reviewed,,no,,,,
254,cable_lift,Cable Lift,Cable Lift,Cable Lift,movement,machine,strength; machine,strength,,,Cable Stack,obliques; abs; frontDelts,core_anti_rotation,resistance_dynamic,tempo_reps,4,13,reps,60,true,true,1,true,false,false,shoulder_overhead,2,false,true,core_braced,internally_reviewed,,no,,,,
255,renegade_row,Renegade Row,Renegade Row,Renegade Row,movement,weights,strength; weights,strength,,,Dumbbells,abs; obliques; lats; frontDelts,core_anti_rotation,resistance_dynamic,tempo_reps,4,8,reps,90,true,true,2,true,false,false,wrist,3,false,true,core_braced,internally_reviewed,,no,,,,
256,suitcase_deadlift,Suitcase Deadlift,Suitcase Deadlift,Suitcase Deadlift,movement,weights,strength; weights,strength,,,Dumbbells,obliques; glutes; forearms; lowerBack,core_anti_rotation,resistance_dynamic,tempo_reps,4,8,reps,90,true,true,2,true,false,false,lumbar_flexion,3,false,true,core_braced,internally_reviewed,,no,,,,
257,half_kneeling_press,Half-Kneeling Press,Half-Kneeling Press,Half-Kneeling Press,movement,weights,strength; weights,strength,,,Dumbbells,abs; obliques; frontDelts,core_anti_rotation,resistance_dynamic,tempo_reps,4,10,reps,60,true,true,2,true,false,false,shoulder_overhead,2,false,true,core_braced,internally_reviewed,,no,,,,
258,plank_pull_through,Plank Pull-Through,Plank Pull-Through,Plank Pull-Through,movement,weights,strength; weights,strength,,,Dumbbells,abs; obliques; frontDelts,core_anti_rotation,resistance_dynamic,tempo_reps,4,11,reps,60,true,true,2,true,false,false,wrist,2,false,true,core_braced,internally_reviewed,,no,,,,
259,bird_dog_row,Bird-Dog Row,Bird-Dog Row,Bird-Dog Row,movement,weights,strength; weights,strength,,,Dumbbells · Bench,abs; obliques; lats,core_anti_rotation,resistance_dynamic,tempo_reps,4,10,reps,60,true,true,2,true,false,false,,3,false,true,core_braced,internally_reviewed,,no,,,,
